student_id,study_hours,absences,school_support,final_grade
S0001,28.9,8,no,30
S0002,14.8,10,yes,100
S0003,10.5,7,yes,87
S0004,18.4,7,yes,47
S0005,15.3,1,no,82
S0006,28.2,16,yes,51
S0007,18.0,9,yes,6
S0008,26.2,20,yes,48
S0009,17.9,18,no,13
S0010,18.8,3,no,96
S0011,19.2,11,yes,63
S0012,15.6,10,no,30
S0013,15.0,18,no,11
S0014,15.3,2,no,11
S0015,18.7,15,yes,39
S0016,10.4,7,no,54
S0017,19.1,15,no,70
S0018,1.5,6,yes,94
S0019,17.8,2,yes,37
S0020,11.5,17,yes,31
S0021,19.0,2,yes,15
S0022,26.3,18,no,44
S0023,2.8,1,no,11
S0024,20.7,11,yes,25
S0025,8.9,12,yes,61
S0026,0.8,0,no,83
S0027,5.3,7,no,96
S0028,22.1,18,no,56
S0029,18.8,13,yes,69
S0030,24.7,5,yes,54
S0031,29.6,19,no,46
S0032,12.5,14,no,64
S0033,29.3,19,no,6
S0034,22.2,4,no,77
S0035,0.2,12,no,42
S0036,23.1,2,yes,18
S0037,0.1,8,no,14
S0038,7.7,5,no,2
S0039,10.3,6,no,36
S0040,9.0,9,yes,18
S0041,25.2,8,yes,40
S0042,27.4,5,yes,73
S0043,19.0,6,yes,5
S0044,15.6,15,yes,51
S0045,15.1,9,no,29
S0046,6.5,18,no,10
S0047,10.6,5,yes,68
S0048,29.0,20,no,84
S0049,15.5,12,no,11
S0050,28.1,2,no,28
S0051,8.4,11,yes,25
S0052,15.4,18,no,38
S0053,27.7,16,no,27
S0054,27.6,15,yes,23
S0055,3.6,2,no,61
S0056,6.3,2,yes,43
S0057,0.8,15,yes,12
S0058,11.9,2,yes,96
S0059,2.1,13,yes,44
S0060,4.2,6,yes,29
S0061,10.3,11,no,44
S0062,0.4,7,yes,40
S0063,2.9,6,no,62
S0064,20.0,3,yes,28
S0065,25.3,0,no,93
S0066,5.2,3,yes,85
S0067,0.7,4,yes,40
S0068,27.0,7,no,78
S0069,24.7,9,no,79
S0070,15.0,6,yes,83
S0071,1.9,9,no,93
S0072,9.2,5,no,47
S0073,17.6,12,yes,99
S0074,29.5,2,no,24
S0075,24.4,4,yes,77
S0076,28.4,7,yes,87
S0077,10.7,17,yes,59
S0078,19.7,19,yes,26
S0079,22.5,13,yes,37
S0080,5.9,3,yes,14
S0081,11.5,4,yes,22
S0082,20.5,6,yes,61
S0083,23.7,7,no,95
S0084,28.4,6,yes,1
S0085,27.8,5,no,97
S0086,10.4,5,yes,74
S0087,14.3,4,no,88
S0088,1.7,6,yes,66
S0089,13.0,7,no,40
S0090,15.2,0,no,19
S0091,21.2,10,yes,73
S0092,22.2,19,yes,43
S0093,20.8,0,no,27
S0094,29.6,9,yes,54
S0095,17.1,5,yes,12
S0096,23.4,6,no,25
S0097,19.4,16,no,79
S0098,28.7,12,yes,26
S0099,11.6,19,yes,50
S0100,21.4,9,yes,99
S0101,10.3,6,yes,66
S0102,17.1,19,no,86
S0103,8.9,17,yes,43
S0104,2.8,20,no,21
S0105,9.6,15,no,41
S0106,22.4,14,yes,9
S0107,25.4,13,yes,6
S0108,12.1,11,no,36
S0109,16.3,15,no,91
S0110,28.1,8,no,29
S0111,15.2,13,no,62
S0112,19.4,13,yes,89
S0113,13.0,19,no,71
S0114,14.5,5,no,23
S0115,0.5,6,yes,65
S0116,4.5,11,yes,36
S0117,19.8,0,no,74
S0118,14.0,15,yes,20
S0119,18.9,19,yes,12
S0120,13.8,13,yes,37
S0121,24.6,19,yes,7
S0122,25.9,12,no,86
S0123,27.1,11,yes,5
S0124,3.4,14,no,84
S0125,5.2,12,yes,94
S0126,27.3,8,no,74
S0127,3.2,19,yes,63
S0128,0.6,2,yes,18
S0129,23.6,1,no,22
